Count,Asset Material,Asset Diameter,Asset Install Year,BR,LoF Phys,LoF,CoF,Risk,Max CoF Factors,Replace Cost,Asset ID
1,CIPP,15,1990,1.7,1,1,1,1,"",$4749,40269
1,CP,12,1990,1.7,1,1,1,1,"",$79911,40285
1,CP,12,1990,1.7,1,1,1,1,"",$15619,40302
1,CP,12,1990,1.7,1,1,1,1,"",$28057,40315
1,CP,12,1990,1.7,1,1,1,1,"",$5393,40349
1,CP,12,1990,1.7,1,1,1,1,"",$4202,40373
1,CP,12,1990,1.7,1,1,1,1,"",$4656,40412
1,CP,12,1990,1.7,1,1,1,1,"",$28289,40413
1,CP,12,1990,1.7,1,1,1,1,"",$32366,40442
1,CP,12,1990,1.7,1,1,1,1,"",$14742,40443
1,CP,12,1990,1.7,1,1,1,1,"",$3160,40448
1,CP,12,1990,1.7,1,1,1,1,"",$6009,40466
1,CP,12,1990,1.7,1,1,1,1,"",$3355,40505
1,CP,12,1990,1.7,1,1,1,1,"",$48192,40574
1,CP,12,1990,1.7,1,1,1,1,"",$122002,40576
1,CP,12,1990,1.7,1,1,1,1,"",$4492,40580
1,CP,12,1990,1.7,1,1,1,1,"",$8317,40651
1,CP,12,1990,1.7,1,1,1,1,"",$3970,40666
1,CP,12,1990,1.7,1,1,1,1,"",$3560,40760
1,CP,12,1990,1.7,1,1,1,1,"",$4632,40766
1,CP,12,1990,1.7,1,1,1,1,"",$4792,40767
1,CP,12,1990,1.7,1,1,1,1,"",$8793,40769
1,CP,12,1990,1.7,1,1,1,1,"",$19979,40789
1,CP,12,1990,1.7,1,1,1,1,"",$12307,40804
1,CP,12,1990,1.7,1,1,1,1,"",$20884,40824
1,CP,12,1990,1.7,1,1,1,1,"",$10465,40832
1,CP,12,1990,1.7,1,1,1,1,"",$14258,40857
1,CP,12,1990,1.7,1,1,1,1,"",$5430,40860
1,CP,12,1990,1.7,1,1,1,1,"",$53687,40864
1,CP,12,1990,1.7,1,1,1,1,"",$10874,40870
1,CP,12,1990,1.7,1,1,1,1,"",$3483,40881
1,CP,12,1990,1.7,1,1,1,1,"",$16034,40891
1,CP,12,1990,1.7,1,1,1,1,"",$6151,40895
1,CP,12,1990,1.7,1,1,1,1,"",$4040,40921
1,CP,12,1990,1.7,1,1,1,1,"",$60573,40925
1,CP,12,1990,1.7,1,1,1,1,"",$4721,40929
1,CP,12,1990,1.7,1,1,1,1,"",$11471,40940
1,CP,12,1990,1.7,1,1,1,1,"",$9019,40944
1,CP,12,1990,1.7,1,1,1,1,"",$10704,40973
1,CP,12,1990,1.7,1,1,1,1,"",$7872,40996
1,CP,12,1990,1.7,1,1,1,1,"",$3718,41046
1,CP,12,1990,1.7,1,1,1,1,"",$4032,41057
1,CP,12,1990,1.7,1,1,1,1,"",$12083,41063
1,CP,12,1990,1.7,1,1,1,1,"",$54371,41073
1,CP,12,1990,1.7,1,1,1,1,"",$19870,41083
1,CP,12,1990,1.7,1,1,1,1,"",$29429,41084
1,CP,12,1990,1.7,1,1,1,1,"",$5592,41103
1,CP,12,1990,1.7,1,1,1,1,"",$27482,41133
1,CP,12,1990,1.7,1,1,1,1,"",$2732,41151
1,CP,12,1990,1.7,1,1,1,1,"",$45711,41199
1,CP,12,1990,1.7,1,1,1,1,"",$15746,41221
1,CP,12,1990,1.7,1,1,1,1,"",$5060,41243
1,CP,12,1990,1.7,1,1,1,1,"",$12896,41244
1,CP,12,1990,1.7,1,1,1,1,"",$57362,41248
1,CP,12,1990,1.7,1,1,1,1,"",$7233,41250
1,CP,12,1990,1.7,1,1,1,1,"",$7200,41262
1,CP,12,1990,1.7,1,1,1,1,"",$55281,41294
1,CP,12,1990,1.7,1,1,1,1,"",$3220,41295
1,CP,12,1990,1.7,1,1,1,1,"",$82577,41406
1,CP,12,1990,1.7,1,1,1,1,"",$14726,41407
1,CP,12,1990,1.7,1,1,1,1,"",$4453,41451
1,CP,12,1990,1.7,1,1,1,1,"",$8766,41457
1,CP,12,1990,1.7,1,1,1,1,"",$241417,41488
1,CP,12,1990,1.7,1,1,1,1,"",$27021,41545
1,CP,12,1990,1.7,1,1,1,1,"",$45797,41569
1,CP,12,1990,1.7,1,1,1,1,"",$6356,41580
1,CP,12,1990,1.7,1,1,1,1,"",$5734,41601
1,CP,8,1990,1.7,1,1,1,1,"",$3413,41605
1,CP,12,1990,1.7,1,1,1,1,"",$27183,41608
1,CP,12,1990,1.7,1,1,1,1,"",$3598,41752
1,CP,12,1990,1.7,1,1,1,1,"",$4197,41918
1,CP,12,1990,1.7,1,1,1,1,"",$10030,41945
1,CP,12,1990,1.7,1,1,1,1,"",$6102,41954
1,CP,12,1990,1.7,1,1,1,1,"",$12996,42018
1,CP,12,1990,1.7,1,1,1,1,"",$8096,42090
1,CP,12,1990,1.7,1,1,1,1,"",$9021,42116
1,CP,12,1990,1.7,1,1,1,1,"",$24710,42144
1,CP,12,1990,1.7,1,1,1,1,"",$77774,42227
1,CP,12,1990,1.7,1,1,1,1,"",$4868,42257
1,CP,12,1990,1.7,1,1,1,1,"",$8581,42307
1,CP,12,1990,1.7,1,1,1,1,"",$6255,42371
1,CP,12,1990,1.7,1,1,1,1,"",$1530,42384
1,CP,12,1990,1.7,1,1,1,1,"",$4907,42407
1,CP,12,1990,1.7,1,1,1,1,"",$3970,42431
1,CP,12,1990,1.7,1,1,1,1,"",$5041,42453
1,CP,12,1990,1.7,1,1,1,1,"",$67682,42460
1,CP,12,1990,1.7,1,1,1,1,"",$63465,42493
1,CP,12,1990,1.7,1,1,1,1,"",$49550,42518
1,CP,12,1990,1.7,1,1,1,1,"",$23348,42575
1,CP,12,1990,1.7,1,1,1,1,"",$46668,42589
1,CP,12,1990,1.7,1,1,1,1,"",$7555,42637
1,CP,12,1990,1.7,1,1,1,1,"",$25225,42879
1,CP,12,1990,1.7,1,1,1,1,"",$70088,42907
1,CP,12,1990,1.7,1,1,1,1,"",$11976,42931
1,CP,12,1990,1.7,1,1,1,1,"",$2201,42935
1,CP,12,1990,1.7,1,1,1,1,"",$12700,42968
1,CP,12,1990,1.7,1,1,1,1,"",$5153,43010
1,CP,12,1990,1.7,1,1,1,1,"",$1858,43048
1,CP,12,1990,1.7,1,1,1,1,"",$17466,43055
1,CP,12,1990,1.7,1,1,1,1,"",$8238,43072
1,CP,12,1990,1.7,1,1,1,1,"",$22616,43149
1,CP,12,1990,1.7,1,1,1,1,"",$8508,43152
1,CP,12,1990,1.7,1,1,1,1,"",$61870,43159
1,CP,12,1990,1.7,1,1,1,1,"",$7993,43160
1,CP,12,1990,1.7,1,1,1,1,"",$7969,43214
1,CP,12,1990,1.7,1,1,1,1,"",$9872,43215
1,CP,12,1990,1.7,1,1,1,1,"",$2537,43242
1,CP,12,1990,1.7,1,1,1,1,"",$8047,43258
1,CP,12,1990,1.7,1,1,1,1,"",$13162,43354
1,CP,12,1990,1.7,1,1,1,1,"",$8825,43361
1,CP,12,1990,1.7,1,1,1,1,"",$10773,43368
1,CP,12,1990,1.7,1,1,1,1,"",$10727,43374
1,CP,12,1990,1.7,1,1,1,1,"",$13084,43381
1,CP,12,1990,1.7,1,1,1,1,"",$44644,43382
1,CP,12,1990,1.7,1,1,1,1,"",$28844,43389
1,CP,12,1990,1.7,1,1,1,1,"",$10534,43394
1,CP,12,1990,1.7,1,1,1,1,"",$25370,43400
1,CP,12,1990,1.7,1,1,1,1,"",$6925,43405
1,CP,12,1990,1.7,1,1,1,1,"",$9089,43439
1,CP,12,1990,1.7,1,1,1,1,"",$6169,43472
1,CP,12,1990,1.7,1,1,1,1,"",$3920,43501
1,CP,12,1990,1.7,1,1,1,1,"",$10187,43510
1,CP,12,1990,1.7,1,1,1,1,"",$8336,43528
1,CP,12,1990,1.7,1,1,1,1,"",$14728,43573
1,CP,12,1990,1.7,1,1,1,1,"",$43502,43582
1,CP,12,1990,1.7,1,1,1,1,"",$52878,43596
1,CP,12,1990,1.7,1,1,1,1,"",$52974,43630
1,CP,12,1990,1.7,1,1,1,1,"",$8601,43639
1,CP,12,1990,1.7,1,1,1,1,"",$27731,43651
1,CP,12,1990,1.7,1,1,1,1,"",$6876,43701
